aX,aY,aZ,gX,gY,gZ
0.962,-0.163,0.031,-11.169,4.578,0.000
0.954,-0.160,0.011,-9.399,5.310,-0.549
0.951,-0.177,0.029,-7.385,3.906,-2.380
0.943,-0.196,0.001,-4.578,4.517,-3.357
0.938,-0.208,-0.072,-5.310,6.165,-3.174
0.936,-0.228,-0.080,-9.094,3.113,-2.075
0.945,-0.205,-0.018,-11.108,-2.319,0.305
0.959,-0.174,0.027,-9.644,-4.395,1.892
0.968,-0.196,0.047,-9.705,-3.601,0.610
0.973,-0.221,0.091,-8.789,-3.540,-0.366
0.975,-0.220,0.119,-4.639,-2.380,-0.183
0.970,-0.247,0.092,-0.366,1.648,-0.610
0.965,-0.288,0.039,1.892,5.554,-0.549
0.964,-0.302,0.015,2.502,6.592,1.587
0.961,-0.288,0.003,7.751,6.165,4.211

1.353,-0.908,-0.845,47.119,3.662,-30.579
1.474,-0.932,-1.125,50.110,7.812,-30.273
1.662,-0.852,-1.427,47.546,9.399,-24.841
1.897,-0.686,-1.785,44.678,7.202,-17.456
2.140,-0.658,-2.117,42.786,-0.183,-12.024
2.325,-0.717,-2.255,34.607,-16.418,-1.892
2.526,-0.621,-2.056,19.287,-41.260,28.381
2.552,-0.240,-1.820,5.981,-55.176,75.073
2.516,0.744,-1.696,11.353,-46.936,124.268
2.485,2.280,-1.391,38.330,-38.574,156.189
2.414,3.684,-0.864,60.974,-28.748,147.156
2.179,4.000,-0.181,76.965,-10.437,98.328
1.649,4.000,-0.195,69.702,36.499,18.738
1.011,4.000,-0.868,43.213,88.013,-82.336
0.469,4.000,-1.053,11.475,76.538,-175.415
0.111,4.000,-0.417,-18.066,10.376,-229.187
-0.324,4.000,0.510,-103.333,-58.350,-247.192
-0.780,3.865,1.812,-224.548,-119.812,-241.150
-1.315,3.407,3.756,-339.966,-208.984,-236.145
-1.770,2.802,4.000,-398.193,-287.354,-246.399
-2.052,2.517,4.000,-360.779,-303.284,-256.042
-1.853,2.526,4.000,-302.979,-260.986,-278.137
-1.978,2.386,4.000,-259.766,-119.019,-346.680
-2.240,1.700,4.000,-182.861,90.271,-433.472
-2.322,0.286,3.988,-113.098,191.406,-514.099
-2.196,-1.291,3.448,-69.519,170.898,-541.260
-2.083,-2.101,3.643,-71.899,126.404,-492.493
-2.029,-2.237,3.202,-87.952,144.226,-411.682
-2.077,-2.416,2.118,-101.440,198.181,-350.647
-2.045,-2.555,1.326,-106.140,210.937,-305.603
-1.925,-2.834,1.132,-101.196,181.152,-263.672
-1.788,-3.319,1.201,-125.000,153.442,-228.455
-1.690,-3.542,1.108,-154.907,147.217,-180.115
-1.543,-3.330,0.793,-169.373,150.635,-116.577
-1.413,-2.956,0.768,-168.396,137.146,-59.753
-1.320,-2.650,0.671,-158.569,123.047,-22.888
-1.193,-2.462,0.442,-138.977,119.690,-4.089
-1.057,-2.298,0.568,-97.656,98.877,9.277
-0.943,-2.083,0.669,-40.283,83.130,23.132
-0.830,-1.797,0.516,12.329,85.632,32.227
-0.703,-1.568,0.281,71.777,85.938,30.884
-0.630,-1.540,0.128,114.197,76.416,22.644
-0.485,-1.652,-0.211,113.586,71.045,16.174
-0.370,-1.804,-0.086,95.459,51.575,17.578
-0.263,-1.785,-0.009,75.195,36.926,41.870
-0.126,-1.550,-0.125,78.003,36.804,74.158
-0.024,-1.214,-0.176,92.102,29.968,98.022
0.113,-1.115,-0.403,112.000,24.231,100.037
0.288,-1.030,-0.438,111.389,5.005,96.436
0.466,-0.950,0.012,88.074,-31.433,92.041
0.583,-0.888,0.222,86.304,-42.725,87.830
0.609,-0.879,0.067,88.196,-26.306,79.651
0.626,-0.772,-0.181,94.482,-14.160,73.547
0.677,-0.896,-0.255,102.295,-22.522,64.270
0.693,-1.067,-0.201,88.867,-37.048,57.922
0.717,-0.880,-0.262,81.055,-41.931,69.031
0.768,-0.524,-0.289,88.318,-46.387,82.520
0.828,-0.426,-0.064,78.735,-60.974,78.979
0.839,-0.431,0.143,62.927,-67.200,68.726
0.861,-0.454,0.098,54.504,-55.481,61.768
0.860,-0.557,0.007,50.476,-45.166,55.420
0.837,-0.652,-0.023,46.326,-42.786,52.002
0.818,-0.673,-0.110,41.199,-38.086,53.162
0.782,-0.673,-0.220,38.452,-34.912,54.810
0.767,-0.734,-0.280,36.499,-37.781,54.016
0.774,-0.799,-0.255,31.982,-44.434,54.321
0.785,-0.731,-0.173,30.823,-50.903,59.998
0.837,-0.684,-0.047,34.119,-55.115,65.247
0.866,-0.707,0.137,34.790,-56.763,66.223
0.887,-0.588,0.206,36.743,-49.316,69.641
0.916,-0.373,0.179,50.171,-38.208,72.327
0.946,-0.232,0.209,63.049,-33.081,67.200
0.961,-0.236,0.217,66.345,-28.564,55.481
0.965,-0.319,0.151,67.749,-22.461,45.166
0.947,-0.379,0.070,66.895,-19.653,40.405
0.950,-0.431,-0.007,62.805,-20.813,39.001
0.968,-0.567,0.045,53.467,-27.344,37.964
0.973,-0.655,0.158,40.283,-32.898,41.748
0.971,-0.692,0.185,33.142,-30.396,49.316
0.967,-0.730,0.174,26.245,-23.987,56.030
0.952,-0.722,0.167,29.602,-19.897,62.866
0.940,-0.649,0.146,34.241,-16.724,69.885
0.934,-0.526,0.106,38.879,-13.489,74.829
0.945,-0.444,0.101,41.870,-13.000,75.317
0.954,-0.448,0.184,40.039,-15.991,71.228
0.957,-0.478,0.241,39.124,-15.625,67.200
0.947,-0.538,0.197,40.100,-10.132,65.735
0.920,-0.655,0.177,36.560,-6.348,66.711
0.891,-0.660,0.167,31.006,-4.944,73.730
0.871,-0.517,0.120,31.738,-3.723,84.900
0.849,-0.407,0.088,30.884,-3.845,90.820
0.827,-0.388,0.039,27.832,-4.639,90.454
0.816,-0.332,0.015,22.766,-6.226,90.210
