aX,aY,aZ,gX,gY,gZ
0.653,0.375,0.641,-15.564,7.874,-10.681
0.643,0.309,0.636,-12.085,10.010,-12.878
0.638,0.294,0.610,-6.226,12.573,-11.963
0.639,0.334,0.583,-3.967,14.709,-9.583
0.630,0.339,0.521,-0.610,16.357,-9.644
0.635,0.307,0.501,-1.648,15.442,-11.597
0.635,0.299,0.501,1.221,12.268,-10.864
0.642,0.273,0.500,1.221,9.949,-9.521
0.646,0.245,0.505,-0.488,7.263,-7.996
0.651,0.244,0.514,1.465,4.639,-4.883
0.653,0.271,0.522,8.911,1.831,-0.793
0.657,0.301,0.569,8.789,-1.343,3.052
0.661,0.318,0.587,4.578,-1.465,5.554
0.667,0.363,0.589,2.563,-0.122,8.179
0.671,0.419,0.597,3.601,-0.244,9.766
0.672,0.441,0.608,4.089,-0.610,8.850
0.671,0.424,0.623,0.977,-0.549,6.592
0.671,0.423,0.622,-1.038,0.549,5.066
0.668,0.432,0.607,-3.235,2.380,4.700
0.664,0.433,0.579,-5.066,4.150,3.784
0.663,0.420,0.558,-4.272,4.089,2.808
0.661,0.399,0.561,-3.052,2.319,2.319
0.663,0.399,0.588,-2.686,0.000,2.930
0.665,0.397,0.599,-4.211,-0.610,3.235
0.668,0.399,0.602,-3.845,-0.122,3.662
0.666,0.412,0.607,-1.404,-0.427,4.456
0.666,0.444,0.612,-1.099,-0.610,4.578
0.662,0.442,0.606,-0.610,-0.183,3.174
0.657,0.407,0.603,2.625,-0.549,0.854
0.652,0.383,0.619,5.310,-1.587,0.122
0.657,0.431,0.609,3.662,-0.244,1.404
0.658,0.467,0.578,0.854,2.197,0.977
0.654,0.469,0.562,-3.418,2.502,-2.319
0.649,0.445,0.552,-4.578,1.465,-5.371
0.643,0.391,0.553,-6.714,0.305,-8.423
0.636,0.351,0.555,-5.981,-0.610,-9.644
0.632,0.328,0.550,-5.249,-1.648,-8.545
0.637,0.316,0.555,-7.141,-2.258,-7.019
0.645,0.361,0.538,-2.197,-2.930,-4.028
0.660,0.421,0.522,1.709,-4.333,-2.014
0.671,0.434,0.532,2.686,-6.470,-2.930
0.681,0.407,0.556,3.357,-9.094,-5.005

0.467,-0.971,1.128,27.954,-84.717,-35.217
0.551,-0.559,1.118,70.862,-86.365,10.193
0.594,-0.129,1.184,97.961,-94.360,36.133
0.623,0.197,1.217,97.290,-97.107,42.236
0.635,0.512,1.248,77.332,-94.910,38.635
0.609,0.752,1.241,64.819,-88.745,28.992
0.518,0.834,1.252,63.049,-83.740,12.756
0.359,0.516,1.351,57.922,-89.600,-10.376
0.287,0.072,1.502,42.664,-97.961,-29.968
0.200,-0.143,1.689,40.649,-101.990,-28.076
0.186,-0.229,1.856,37.354,-98.938,-16.418
0.226,-0.227,1.991,39.917,-88.135,-7.507
0.264,-0.141,1.979,59.509,-69.275,-1.465
0.288,-0.047,1.774,84.900,-43.640,0.000
0.289,-0.018,1.494,98.999,-25.513,-3.540
0.281,0.058,1.320,104.553,-23.560,-4.150
0.261,0.219,1.236,105.957,-28.687,0.305
0.226,0.327,1.120,95.703,-29.114,1.160
0.198,0.345,0.933,69.153,-24.048,-3.479
0.171,0.320,0.741,44.006,-23.621,-7.080
0.152,0.241,0.716,29.724,-37.354,-7.690
0.154,0.057,0.961,24.170,-63.904,-6.165
0.173,-0.193,1.345,25.513,-89.600,-3.601
0.203,-0.383,1.673,26.917,-97.412,3.235
0.271,-0.376,1.818,27.832,-81.604,17.578
0.296,-0.258,1.763,35.400,-54.016,30.457
0.296,-0.240,1.625,43.152,-30.334,30.212
0.286,-0.295,1.494,44.250,-15.686,27.222
0.280,-0.263,1.398,40.771,-7.385,32.593
0.295,-0.068,1.269,37.354,0.305,45.349
0.311,0.134,1.088,34.119,7.507,53.772
0.324,0.225,0.951,22.034,7.324,52.490
0.362,0.235,0.933,4.761,-1.770,46.326
0.371,0.203,1.040,-5.432,-14.587,41.199
0.379,0.133,1.236,-12.146,-25.146,37.109
0.402,0.045,1.445,-10.010,-29.785,32.654
0.435,-0.033,1.627,-1.770,-26.550,28.809
0.452,-0.110,1.730,7.996,-15.137,25.635
0.436,-0.165,1.748,16.602,1.892,23.987
0.422,-0.125,1.682,23.437,21.179,27.527
0.410,-0.021,1.560,27.222,37.964,32.349
0.388,0.066,1.430,30.945,49.011,33.447
0.379,0.155,1.326,30.457,54.871,32.043
0.375,0.248,1.246,27.100,57.922,29.236
0.370,0.278,1.179,23.743,60.120,22.461
0.344,0.292,1.113,23.987,62.988,14.099
0.312,0.300,1.033,29.053,66.284,5.310
0.293,0.277,0.952,32.898,68.054,-4.456
0.264,0.165,0.903,33.813,66.284,-16.479
0.241,-0.077,0.961,29.968,60.425,-28.931
0.228,-0.296,1.090,26.245,55.725,-34.180
0.189,-0.391,1.128,30.396,60.730,-29.053
0.179,-0.403,1.017,29.846,74.097,-21.118
0.185,-0.421,0.856,24.963,83.374,-15.442
0.197,-0.486,0.760,22.095,81.543,-10.681
0.231,-0.515,0.800,19.714,72.266,-2.869
0.254,-0.459,0.879,23.071,64.514,9.705
0.273,-0.361,0.872,20.264,65.796,21.423
0.268,-0.282,0.774,8.972,71.777,27.405
0.295,-0.227,0.685,0.977,71.350,30.029
0.300,-0.197,0.710,-4.944,62.500,30.640
0.297,-0.131,0.751,-2.258,56.213,31.128
0.319,-0.097,0.728,5.249,56.458,29.846
0.337,-0.081,0.740,7.324,55.481,25.696
0.352,-0.198,0.752,11.719,52.551,18.250
0.370,-0.264,0.795,16.235,50.659,16.357
0.361,-0.275,0.873,17.761,49.805,20.508
0.365,-0.263,0.898,15.869,53.833,25.269
0.380,-0.204,0.820,7.690,62.378,29.724
0.392,-0.157,0.708,-0.610,69.031,31.555
0.404,-0.133,0.639,-5.432,69.031,30.212
0.431,-0.108,0.628,-4.089,63.721,28.015
0.461,-0.077,0.673,0.854,56.458,25.635
0.478,-0.054,0.748,5.249,51.697,22.583
0.495,-0.049,0.772,8.301,52.246,18.555
0.500,-0.031,0.765,6.592,54.749,14.771
0.527,-0.039,0.786,3.540,55.054,11.047
0.548,-0.104,0.863,4.211,52.917,6.653
0.551,-0.201,0.959,4.150,52.429,4.639
0.518,-0.216,0.990,3.479,58.899,7.385
0.517,-0.167,0.869,6.531,71.472,12.634
0.515,-0.116,0.716,14.587,79.956,15.442
0.539,-0.089,0.599,29.663,79.468,15.381
0.472,-0.088,0.555,43.457,73.486,13.123
0.518,-0.165,0.605,41.992,65.369,8.545
0.524,-0.142,0.627,44.617,62.195,9.888
0.531,-0.097,0.560,68.542,62.012,14.099
0.547,-0.092,0.631,53.406,58.105,12.146
0.581,-0.082,0.705,19.226,58.594,8.850
0.592,-0.071,0.688,4.089,64.514,7.385
0.579,-0.096,0.678,-5.737,69.153,5.554
0.550,-0.115,0.650,-16.418,72.754,5.127
0.536,-0.063,0.562,-24.780,78.186,6.775
0.537,0.017,0.445,-27.710,81.604,7.141
0.541,0.052,0.357,-20.813,79.651,2.502
0.541,0.000,0.350,-7.935,72.083,-5.066
0.536,-0.057,0.391,3.540,63.538,-11.169
0.557,-0.079,0.435,10.071,58.716,-13.367
0.576,-0.042,0.460,13.000,57.983,-13.367
0.596,-0.018,0.444,15.076,59.570,-14.709
0.607,-0.054,0.436,17.090,61.096,-18.311
0.601,-0.139,0.436,16.113,62.195,-21.057
0.611,-0.189,0.413,7.446,65.430,-20.081
0.615,-0.175,0.396,-3.540,67.871,-15.808
0.620,-0.188,0.381,-14.648,68.604,-13.672
0.636,-0.211,0.388,-23.987,67.383,-13.000
0.651,-0.210,0.427,-29.358,64.697,-10.986
0.656,-0.223,0.465,-33.813,63.538,-9.216
0.666,-0.194,0.454,-36.865,66.101,-7.202
0.672,-0.113,0.384,-37.598,70.740,-5.371
0.671,-0.070,0.319,-33.508,72.510,-7.812
0.675,-0.075,0.303,-27.283,68.970,-13.184
0.688,-0.088,0.312,-18.921,64.148,-18.188
0.700,-0.099,0.334,-8.789,60.486,-22.705
0.687,-0.132,0.345,2.502,58.228,-27.466
0.685,-0.155,0.313,9.338,58.533,-31.555
0.677,-0.183,0.247,14.648,59.631,-34.790
0.666,-0.269,0.189,21.118,58.228,-38.086
0.678,-0.353,0.195,24.963,52.795,-38.452

-0.938,-0.916,-0.787,-38.025,127.625,-45.105
-0.990,-0.949,-0.837,-33.081,123.047,-44.250
-1.041,-0.995,-0.918,-32.288,117.249,-44.495
-1.077,-1.021,-0.964,-35.583,105.225,-44.373
-1.073,-1.005,-0.953,-37.598,86.609,-41.870
-1.068,-1.026,-0.877,-32.288,65.308,-40.466
-1.061,-1.116,-0.730,-28.748,45.776,-41.992
-1.053,-1.200,-0.609,-28.931,36.011,-39.551
-1.042,-1.285,-0.579,-30.762,35.950,-31.067
-1.042,-1.336,-0.604,-39.978,39.612,-17.700
-1.027,-1.343,-0.587,-53.040,40.466,-1.709
-1.005,-1.284,-0.582,-56.458,39.612,15.320
-0.974,-1.157,-0.609,-48.035,38.025,31.006
-0.947,-1.039,-0.621,-44.067,34.180,40.710
-0.918,-0.950,-0.636,-39.185,28.564,44.189
-0.890,-0.853,-0.650,-31.738,23.254,43.945
-0.861,-0.788,-0.684,-24.170,18.005,40.100
-0.825,-0.762,-0.686,-16.968,10.986,33.691
-0.797,-0.778,-0.624,-13.855,2.258,27.283
-0.768,-0.827,-0.563,-15.564,-3.296,21.545
-0.750,-0.861,-0.545,-14.648,-5.188,18.555
-0.731,-0.865,-0.551,-12.085,-6.958,18.066
-0.705,-0.878,-0.525,-10.864,-11.414,17.700
-0.694,-0.931,-0.481,-8.789,-16.052,17.029
-0.695,-0.969,-0.464,-7.019,-17.639,18.250
-0.695,-0.969,-0.490,-5.493,-16.907,22.156
-0.703,-0.988,-0.513,-3.967,-17.273,26.123
-0.738,-1.054,-0.531,-11.108,-16.907,28.625
-0.791,-1.148,-0.635,-16.479,-13.489,33.264
-0.838,-1.124,-0.746,-22.949,-11.963,42.725
-0.864,-1.036,-0.812,-21.240,-17.273,53.589
-0.870,-1.020,-0.811,-16.479,-28.564,58.167
-0.883,-0.988,-0.800,-15.930,-37.354,60.852
-0.881,-0.945,-0.797,-15.625,-44.495,62.256
-0.856,-0.889,-0.792,-10.803,-53.101,62.317
-0.832,-0.880,-0.740,-8.057,-63.782,59.998
-0.797,-0.899,-0.655,-8.057,-73.730,56.274
-0.755,-0.892,-0.575,-2.014,-81.421,55.847
-0.692,-0.854,-0.490,-0.610,-88.074,57.129
-0.626,-0.818,-0.387,-4.272,-93.933,58.655
-0.561,-0.813,-0.265,-10.132,-98.083,59.326
-0.493,-0.785,-0.188,-15.381,-97.778,61.279
-0.409,-0.741,-0.140,-19.409,-95.642,63.843
-0.328,-0.719,-0.052,-19.775,-95.825,64.453
-0.261,-0.704,0.059,-17.151,-95.276,63.416
-0.203,-0.687,0.082,-16.541,-86.914,61.951
-0.159,-0.672,0.021,-14.099,-75.745,59.448
-0.112,-0.631,-0.020,-16.846,-69.885,57.007
-0.060,-0.612,0.027,-16.907,-70.251,52.979
-0.004,-0.601,0.097,-14.404,-70.007,47.241
0.042,-0.599,0.125,-10.254,-65.613,40.833
0.075,-0.640,0.126,-8.179,-58.899,32.837
0.091,-0.698,0.125,-8.423,-52.856,25.330
0.110,-0.760,0.123,-13.672,-46.814,20.142
0.131,-0.793,0.125,-20.264,-40.771,17.700
0.146,-0.828,0.108,-20.325,-35.278,16.052
